,count,mean,std,min,25%,50%,max,FechaMax,FechaMin,Nombre,Codigo,ceros,75mayor,75%,99mayor,99%,Ceros %,
0,15000,0.129233333,0.559863354,0,0,0,10.3,2021-06-30-23,2018-04-09-00,12 DE OCTUBRE,X110137,12806,2194,0,143,2.9,0.853733333,
1,29040,0.125385675,0.750008453,0,0,0,37.5,2021-06-30-23,2018-01-02-00,ABANCAY (G. SAN ANTONIO),X47263360,25603,3437,0,279,3.4,0.881646006,
2,22392,0.117466059,0.566955055,0,0,0,16.7,2020-12-22-23,2018-01-02-00,ACJANACO,X4722A338,18549,3843,0,222,2.9,0.828376206,
3,6984,0.143112829,0.532980553,0,0,0,10,2021-06-30-23,2019-01-16-00,AGOCANCHA,X472BF518,5665,1319,0,64,2.7,0.811139748,
4,29184,0.033586897,0.610536339,0,0,0,45.4,2021-06-30-23,2018-01-02-00,ALAMOR,X47E0D438,28482,702,0,283,0.4,0.975945724,
5,26304,0.050114051,0.324981592,0,0,0,8.5,2021-04-26-23,2018-01-01-00,ANCOAQUE,X117059,24511,1793,0,260,1.5,0.931835462,
6,0,,,,,,,,,ANDACANCHA,X472BC082,0,0,,0,,#DIV/0!,
7,10320,0.129689922,0.560247807,0,0,0,12.8,2019-04-04-23,2018-01-02-00,ANTABAMBA,X472B059C,9069,1251,0,87,3,0.87877907,
8,21744,0.094678992,0.415466648,0,0,0,9.3,2021-06-30-23,2018-09-07-00,ANTACOTO,X47E9C112,19053,2691,0,194,2.2,0.876241722,
9,16680,0.008645084,0.118308263,0,0,0,6.2,2021-06-30-23,2018-12-09-00,ANTIOQUIA,X47A00F5E,16415,265,0,131,0.2,0.98411271,
10,19248,0.034278886,0.28342101,0,0,0,12,2021-06-30-23,2018-12-11-00,AUTISHA,X47A03AC4,18216,1032,0,193,0.953,0.94638404,
11,29832,0.165201797,1.146952272,0,0,0,34.6,2021-06-30-23,2018-01-01-00,AYABACA,X472606FA,25807,4025,0,293,4.2,0.865077769,
12,0,,,,,,,,,AYAHUITUNA,X4720BB68,0,0,,0,,#DIV/0!,
13,9432,0.064249364,0.397191509,0,0,0,13,2019-02-24-23,2018-01-02-00,AYAVIRI,X4727B78E,8661,771,0,89,1.8,0.918256997,
